"Units","scenario","year","value"
"degreesC","Reference",1975,0
"degreesC","Reference",1980,0.345863
"degreesC","Reference",1985,0.451742
"degreesC","Reference",1990,0.563683
"degreesC","Reference",1995,0.682267
"degreesC","Reference",2000,0.798416
"degreesC","Reference",2005,0.898257
"degreesC","Reference",2010,1.01419
"degreesC","Reference",2015,1.17374
"degreesC","Reference",2020,1.3236
"degreesC","Reference",2025,1.46481
"degreesC","Reference",2030,1.60629
"degreesC","Reference",2035,1.74757
"degreesC","Reference",2040,1.88712
"degreesC","Reference",2045,2.02435
"degreesC","Reference",2050,2.16044
"degreesC","Reference",2055,2.29602
"degreesC","Reference",2060,2.43225
"degreesC","Reference",2065,2.56915
"degreesC","Reference",2070,2.70666
"degreesC","Reference",2075,2.84527
"degreesC","Reference",2080,2.98593
"degreesC","Reference",2085,3.12641
"degreesC","Reference",2090,3.26603
"degreesC","Reference",2095,3.40482
"degreesC","Reference",2100,3.54281
